Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
Goth;Punk;Undirected;Check out Plundering Productions #Facebook https://t.co/MkP0vYrQ88 #Like #Share #Metal #Goth #Punk #Rockabilly https://t.co/zfmb3b4eKc;0.0;0;1;Plundering Products;Leeds, England;en;1727;1391
Goth;Rockabilly;Undirected;Check out Plundering Productions #Facebook https://t.co/MkP0vYrQ88 #Like #Share #Metal #Goth #Punk #Rockabilly https://t.co/zfmb3b4eKc;0.0;0;1;Plundering Products;Leeds, England;en;1727;1391
Punk;Rockabilly;Undirected;Check out Plundering Productions #Facebook https://t.co/MkP0vYrQ88 #Like #Share #Metal #Goth #Punk #Rockabilly https://t.co/zfmb3b4eKc;0.0;0;1;Plundering Products;Leeds, England;en;1727;1391
Liverpool;Rock;Undirected;And we're open! Music is loud, heads are banging and the shirts are plentiful! Scream for me #Liverpool! #Rock #Metal;-0.5538;0;0;Sharky's - Band Tees;Liverpool, England;en;392;712
Liverpool;Metal;Undirected;And we're open! Music is loud, heads are banging and the shirts are plentiful! Scream for me #Liverpool! #Rock #Metal;-0.5538;0;0;Sharky's - Band Tees;Liverpool, England;en;392;712
Rock;Metal;Undirected;And we're open! Music is loud, heads are banging and the shirts are plentiful! Scream for me #Liverpool! #Rock #Metal;-0.5538;0;0;Sharky's - Band Tees;Liverpool, England;en;392;712
metal;metalhead;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metal;selfie;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metal;dayout;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metal;saturday;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metal;weekend;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metalhead;selfie;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metalhead;dayout;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metalhead;saturday;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
metalhead;weekend;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
selfie;dayout;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
selfie;saturday;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
selfie;weekend;Undirected;Getting ready for a day out with @valkyrie_princess_ #metal #metalhead #selfie #dayout #saturday #weekend… https://t.co/HqMkr95Kd5;0.3612;0;2;Odin Christ;Belfast;en;906;259
